State,Year,Deaths,Population,crudemort_rate,Mort_rate
Vermont,2005,5066,621215,815.5,0.81549866
Virginia,2005,57855,7577105,763.55,0.763550195
Washington,2005,46203,6257305,738.38,0.738384976
West Virginia,2005,20780,1820492,1141.45,1.141449674
Wisconsin,2005,46709,5546166,842.19,0.842185394
Wyoming,2005,4099,514157,797.23,0.797227306
Alabama,2006,46977,4628981,1014.85,1.014845384
Alaska,2006,3354,675302,496.67,0.496666677
Arizona,2006,46365,6029141,769.02,0.769015022
Arkansas,2006,27901,2821761,988.78,0.988779702
California,2006,237126,36021202,658.3,0.658295634
Colorado,2006,29521,4720423,625.39,0.625388869
Connecticut,2006,29260,3517460,831.85,0.831850256
Delaware,2006,7204,859268,838.39,0.838388023
District of Columbia,2006,5344,570681,936.43,0.936425078
Florida,2006,170066,18166990,936.13,0.936126458
Georgia,2006,67808,9155813,740.6,0.740600534
Hawaii,2006,9432,1309731,720.15,0.720147878
Idaho,2006,10613,1468669,722.63,0.722627086
Illinois,2006,102171,12643955,808.06,0.808062034
Indiana,2006,55622,6332669,878.33,0.878334238
Iowa,2006,27362,2982644,917.37,0.917373981
Kansas,2006,24553,2762931,888.66,0.888657733
Kentucky,2006,40102,4219239,950.46,0.950455758
Louisiana,2006,40045,4302665,930.7,0.930702251
Maine,2006,12294,1323619,928.82,0.928817129
Maryland,2006,43582,5627367,774.47,0.774465216
Massachusetts,2006,53450,6410084,833.84,0.833842427
Michigan,2006,86042,10036081,857.33,0.85732668
Minnesota,2006,37028,5163555,717.1,0.717102849
Mississippi,2006,28564,2904978,983.28,0.98327767
Missouri,2006,54681,5842704,935.89,0.935885165
Montana,2006,8472,952692,889.27,0.889269565
Nebraska,2006,14899,1772693,840.47,0.840472659
Nevada,2006,18872,2522658,748.1,0.748099822
New Hampshire,2006,10060,1308389,768.88,0.768884483
New Jersey,2006,70356,8661679,812.27,0.81226746
New Mexico,2006,15296,1962137,779.56,0.779558206
New York,2006,148806,19104631,778.9,0.778900153
North Carolina,2006,74716,8917270,837.88,0.837879755
North Dakota,2006,5868,649422,903.57,0.903572715
Ohio,2006,106825,11481213,930.43,0.930433047
Oklahoma,2006,35427,3594090,985.7,0.985701527
Oregon,2006,31380,3670883,854.84,0.854835199
Pennsylvania,2006,125539,12510809,1003.44,1.003444302
Rhode Island,2006,9690,1063096,911.49,0.911488708
South Carolina,2006,38761,4357847,889.45,0.88945298
South Dakota,2006,7084,783033,904.69,0.904687286
Tennessee,2006,56838,6088766,933.49,0.933489643
Texas,2006,157150,23359580,672.74,0.67274326
Utah,2006,13764,2525507,545,0.544999479
Vermont,2006,5048,622892,810.41,0.810413362
Virginia,2006,57690,7673725,751.79,0.751786127
Washington,2006,46120,6370753,723.93,0.723933262
West Virginia,2006,20672,1827912,1130.91,1.130907834
Wisconsin,2006,46153,5577655,827.46,0.827462437
Wyoming,2006,4311,522667,824.81,0.824808147
Alabama,2007,46696,4672840,999.31,0.999306632
Alaska,2007,3463,680300,509.04,0.509040129
Arizona,2007,45554,6167681,738.59,0.738592025
Arkansas,2007,28191,2848650,989.63,0.989626665
California,2007,233720,36250311,644.74,0.644739296
Colorado,2007,29993,4803868,624.35,0.624351044
Connecticut,2007,28651,3527270,812.27,0.812271247
Delaware,2007,7327,871749,840.49,0.840494225
District of Columbia,2007,5188,574404,903.2,0.903197053
Florida,2007,168096,18367842,915.16,0.915164667
Georgia,2007,68331,9349988,730.81,0.730813772
Hawaii,2007,9495,1315675,721.68,0.721682786
Idaho,2007,10822,1505105,719.02,0.719019603
Illinois,2007,100503,12695866,791.62,0.791619886
Indiana,2007,54000,6379599,846.45,0.846448186
Iowa,2007,27221,2999212,907.61,0.907605064
Kansas,2007,24491,2783785,879.77,0.879773402
Kentucky,2007,40090,4256672,941.82,0.941815578
Louisiana,2007,39966,4375581,913.39,0.913387274
Maine,2007,12493,1327040,941.42,0.941418495
Maryland,2007,43757,5653408,773.99,0.773993315
Massachusetts,2007,52917,6431559,822.77,0.822770964
Michigan,2007,86721,10001284,867.1,0.867098665
Minnesota,2007,37138,5207203,713.2,0.713204382
Mississippi,2007,28255,2928350,964.88,0.964877832
Missouri,2007,54166,5887612,920,0.919999484
Montana,2007,8624,964706,893.95,0.89395111
Nebraska,2007,15263,1783440,855.82,0.85581797
Nevada,2007,18687,2601072,718.43,0.718434553
New Hampshire,2007,10303,1312540,784.97,0.784966553
New Jersey,2007,69662,8677885,802.75,0.802753205
New Mexico,2007,15482,1990070,777.96,0.777962584
New York,2007,147680,19132335,771.89,0.771886965
North Carolina,2007,76046,9118037,834.02,0.834017234
North Dakota,2007,5561,652822,851.84,0.851840165
Ohio,2007,106534,11500468,926.34,0.92634491
Oklahoma,2007,36032,3634349,991.43,0.991429277
Oregon,2007,31403,3722417,843.62,0.843618541
Pennsylvania,2007,125104,12563937,995.74,0.995738836
Rhode Island,2007,9723,1057315,919.59,0.919593499
South Carolina,2007,39439,4444110,887.44,0.88744428
South Dakota,2007,6826,791623,862.28,0.86227914
Tennessee,2007,57087,6175727,924.38,0.924377
Texas,2007,160548,23831983,673.67,0.67366614
Utah,2007,14143,2597746,544.43,0.54443352
Vermont,2007,5179,623481,830.66,0.830658833
Virginia,2007,58225,7751000,751.19,0.751193394
Washington,2007,47323,6461587,732.37,0.73237426
West Virginia,2007,21086,1834052,1149.69,1.149694774
Wisconsin,2007,46241,5610775,824.15,0.824146397
Wyoming,2007,4266,534876,797.57,0.797568034
Alabama,2008,47707,4718206,1011.13,1.011125839
Alaska,2008,3494,687455,508.25,0.508251449
Arizona,2008,45823,6280362,729.62,0.729623547
Arkansas,2008,29322,2874554,1020.05,1.020053894
California,2008,234766,36604337,641.36,0.641361159
Colorado,2008,31274,4889730,639.59,0.639585417
Connecticut,2008,28794,3545579,812.11,0.812109954
Delaware,2008,7622,883874,862.34,0.862340107
District of Columbia,2008,5140,580236,885.85,0.885846449
Florida,2008,170703,18527305,921.36,0.921359043
Georgia,2008,69640,9504843,732.68,0.732679119
Hawaii,2008,9501,1332213,713.17,0.713174245
Idaho,2008,10962,1534320,714.45,0.714453308
Illinois,2008,103471,12747038,811.73,0.81172583
Indiana,2008,56752,6424806,883.33,0.883326283
Iowa,2008,28541,3016734,946.09,0.94608938
Kansas,2008,24975,2808076,889.4,0.889399005
Kentucky,2008,41329,4289878,963.41,0.963407351
Louisiana,2008,41220,4435586,929.3,0.929302239
Maine,2008,12541,1330509,942.57,0.942571602
Maryland,2008,43892,5684965,772.07,0.772071596
Massachusetts,2008,53518,6468967,827.3,0.827303648
Michigan,2008,88445,9946889,889.17,0.889172484
Minnesota,2008,38499,5247018,733.73,0.733731045
Mississippi,2008,28984,2947806,983.24,0.983239738
Missouri,2008,56578,5923916,955.08,0.955077688
Montana,2008,8913,976415,912.83,0.912829074
Nebraska,2008,15461,1796378,860.68,0.860676316
